round,comp_time,comm_time,overhead,mse,f1,mode,clients
33,0.8174431324005127,2.000077724456787,0.04000000000000001,4072.2903478285843,0.6476899496387125,BlockFL,10
34,0.8172948360443115,2.000087261199951,0.04000000000000001,3933.862189797794,0.5764279657750713,BlockFL,10
35,0.8451278209686279,2.000093698501587,0.04000000000000001,5354.850155101103,0.20283896231032794,BlockFL,10
36,0.8364665508270264,2.0000743865966797,0.04000000000000001,5401.323443244485,0.5481141772752431,BlockFL,10
37,0.8106405735015869,2.000075578689575,0.04000000000000001,6930.144875919118,0.26539658587192305,BlockFL,10
38,0.8076095581054688,2.000077724456787,0.04000000000000001,8250.014131433823,0.22549399457574584,BlockFL,10
39,0.8108494281768799,2.0000767707824707,0.04000000000000001,10200.021340762867,0.20913107511045656,BlockFL,10
40,0.8133895397186279,2.000393867492676,0.04000000000000001,9732.951803768383,0.257910789172703,BlockFL,10
41,0.809473991394043,2.000192880630493,0.04000000000000001,10664.331801470587,0.36044113691383484,BlockFL,10
42,0.8163392543792725,2.0003840923309326,0.04000000000000001,12662.589125689337,0.52243512005821,BlockFL,10
43,0.8151850700378418,2.0001819133758545,0.04000000000000001,8703.598173253677,0.34268138230504797,BlockFL,10
44,0.8125789165496826,2.0000758171081543,0.04000000000000001,11223.53670726103,0.42183750428522454,BlockFL,10
45,0.8126096725463867,2.0004055500030518,0.04000000000000001,9298.700827205883,0.3524568155374564,BlockFL,10
46,0.8272426128387451,2.0000762939453125,0.04000000000000001,9521.942354090073,0.6321097515758249,BlockFL,10
47,0.8164646625518799,2.000093460083008,0.04000000000000001,12229.833553538603,0.23531655225019069,BlockFL,10
48,0.822274923324585,2.000089168548584,0.04000000000000001,14964.562614889706,0.17569575121323167,BlockFL,10
49,0.8239529132843018,2.000183343887329,0.04000000000000001,17081.610380284925,0.12918367346938775,BlockFL,10
0,0.8104701042175293,0.14007091522216797,9.201,0.5183122096692815,0.6803149606299213,Ours,10
1,0.8219332695007324,0.140092134475708,9.201,0.4106854121474659,0.7306765778787253,Ours,10
2,0.8204996585845947,0.14011645317077637,9.201,0.35548259931452136,0.744809747464434,Ours,10
3,0.8170557022094727,0.1401054859161377,9.201,0.3201693068532383,0.744544462629569,Ours,10
4,0.815413236618042,0.14007782936096191,9.201,0.29390817442361045,0.7462015398242148,Ours,10
5,0.8284132480621338,0.14010167121887207,9.201,0.2728858528768315,0.7560612217255858,Ours,10
6,0.828134298324585,0.1401050090789795,9.201,0.2548616160364712,0.7689632107023411,Ours,10
7,0.8104283809661865,0.14009547233581543,9.201,0.23940465380163753,0.7687671599812496,Ours,10
8,0.8194036483764648,0.14008545875549316,9.201,0.22565704759429484,0.7729365450056715,Ours,10
9,0.8143050670623779,0.14011597633361816,9.201,0.2136165968635503,0.7782142619348825,Ours,10
10,0.8562886714935303,0.14011192321777344,9.201,0.20077598927652135,0.7890671420083185,Ours,10
11,0.8936364650726318,0.14009976387023926,6.441000000000001,0.18906813772285685,0.799317943336831,Ours,10
12,0.8247439861297607,0.14007568359375,6.441000000000001,0.17890357182306402,0.848781099204111,Ours,10
13,0.826406717300415,0.14009857177734375,6.441000000000001,0.16947776473620357,0.8611111111111112,Ours,10
14,0.8133490085601807,0.14010190963745117,6.441000000000001,0.16082992492353215,0.8717256610023925,Ours,10
15,0.8627963066101074,0.14008522033691406,6.441000000000001,0.15234376358635285,0.875886524822695,Ours,10
16,0.8265316486358643,0.14008498191833496,6.441000000000001,0.1449897859026404,0.8770366754134374,Ours,10
17,0.8373286724090576,0.1401054859161377,6.441000000000001,0.13861220439567284,0.8799756542909313,Ours,10
18,0.8376948833465576,0.1401073932647705,6.441000000000001,0.13275636995539947,0.8851506716688854,Ours,10
19,0.8431167602539062,0.14009785652160645,6.441000000000001,0.1275116632528165,0.8878831764421916,Ours,10
20,0.8327822685241699,0.14009714126586914,6.441000000000001,0.12248670112560778,0.8902534465113479,Ours,10
21,0.8180654048919678,0.1400594711303711,6.441000000000001,0.11854809566455729,0.8919471153846154,Ours,10
22,0.8139564990997314,0.14008641242980957,6.441000000000001,0.1150615199962083,0.8930757230289211,Ours,10
23,0.810678243637085,0.1400609016418457,6.441000000000001,0.11170900152886615,0.8946295852313594,Ours,10
